ADDRESS,ORGANISATION,AddressLine2,AddressLine3,AddressLine4,LOCALITY_NAME,TOWN_NAME,POSTCODE,UPRN,CLASSIFICATION,TERTIARY_CLASS_DESC,LPI_LOGICAL_STATUS,BLPU_LOGICAL_STATUS,BLPU_STATE_STRING,NON_POSTAL
"31 St Michaels Yard, DUNDEE, DD4 9AP",,,,31 St Michaels Yard,,DUNDEE,DD4 9AP,9059102648,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"33 St Michaels Yard, DUNDEE, DD4 9AP",,,,33 St Michaels Yard,,DUNDEE,DD4 9AP,9059102649,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"17 St Michaels Yard, DUNDEE, DD4 9AP",,,,17 St Michaels Yard,,DUNDEE,DD4 9AP,9059102641,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"15 St Michaels Yard, DUNDEE, DD4 9AP",,,,15 St Michaels Yard,,DUNDEE,DD4 9AP,9059102640,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"11 St Michaels Yard, DUNDEE, DD4 9AP",,,,11 St Michaels Yard,,DUNDEE,DD4 9AP,9059102639,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"8 St Michaels Yard, DUNDEE, DD4 9AP",,,,8 St Michaels Yard,,DUNDEE,DD4 9AP,9059102672,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"10 St Michaels Yard, DUNDEE, DD4 9AP",,,,10 St Michaels Yard,,DUNDEE,DD4 9AP,9059102673,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"16 St Michaels Yard, DUNDEE, DD4 9AP",,,,16 St Michaels Yard,,DUNDEE,DD4 9AP,9059102676,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"12 St Michaels Yard, DUNDEE, DD4 9AP",,,,12 St Michaels Yard,,DUNDEE,DD4 9AP,9059102674,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"14 St Michaels Yard, DUNDEE, DD4 9AP",,,,14 St Michaels Yard,,DUNDEE,DD4 9AP,9059102675,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"9 St Michaels Yard, DUNDEE, DD4 9AP",,,,9 St Michaels Yard,,DUNDEE,DD4 9AP,9059102638,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"7 St Michaels Yard, DUNDEE, DD4 9AP",,,,7 St Michaels Yard,,DUNDEE,DD4 9AP,9059102637,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"6 St Michaels Yard, DUNDEE, DD4 9AP",,,,6 St Michaels Yard,,DUNDEE,DD4 9AP,9059102671,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"5 St Michaels Yard, DUNDEE, DD4 9AP",,,,5 St Michaels Yard,,DUNDEE,DD4 9AP,9059102636,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"4 St Michaels Yard, DUNDEE, DD4 9AP",,,,4 St Michaels Yard,,DUNDEE,DD4 9AP,9059102670,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"24 St Michaels Yard, DUNDEE, DD4 9AP",,,,24 St Michaels Yard,,DUNDEE,DD4 9AP,9059102680,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"1/1, 172 Clepington Road, DUNDEE, DD3 8BE",, 1/1,,172 Clepington Road,,DUNDEE,DD3 8BE,9059084944,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"1/2, 172 Clepington Road, DUNDEE, DD3 8BE",, 1/2,,172 Clepington Road,,DUNDEE,DD3 8BE,9059084945,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"1/3, 172 Clepington Road, DUNDEE, DD3 8BE",, 1/3,,172 Clepington Road,,DUNDEE,DD3 8BE,9059085624,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"G/0, 172 Clepington Road, DUNDEE, DD3 8BE",, G/0,,172 Clepington Road,,DUNDEE,DD3 8BE,9059085086,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"128A Clepington Road, DUNDEE, DD3 7UD",,,,128A Clepington Road,,DUNDEE,DD3 7UD,9059085300,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"253 Clepington Road, DUNDEE, DD3 7UE",,,,253 Clepington Road,,DUNDEE,DD3 7UE,9059085174,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
