ADDRESS,ORGANISATION,AddressLine2,AddressLine3,AddressLine4,LOCALITY_NAME,TOWN_NAME,POSTCODE,UPRN,CLASSIFICATION,TERTIARY_CLASS_DESC,LPI_LOGICAL_STATUS,BLPU_LOGICAL_STATUS,BLPU_STATE_STRING,NON_POSTAL
"2/2, 191 Clepington Road, DUNDEE, DD3 7TA",, 2/2,,191 Clepington Road,,DUNDEE,DD3 7TA,9059005762,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"3/1, 191 Clepington Road, DUNDEE, DD3 7TA",, 3/1,,191 Clepington Road,,DUNDEE,DD3 7TA,9059005773,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"3/2, 191 Clepington Road, DUNDEE, DD3 7TA",, 3/2,,191 Clepington Road,,DUNDEE,DD3 7TA,9059005784,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"G/2, 191 Clepington Road, DUNDEE, DD3 7TA",, G/2,,191 Clepington Road,,DUNDEE,DD3 7TA,9059005795,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"1/1, 191 Clepington Road, DUNDEE, DD3 7TA",, 1/1,,191 Clepington Road,,DUNDEE,DD3 7TA,9059005805,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"1/2, 191 Clepington Road, DUNDEE, DD3 7TA",, 1/2,,191 Clepington Road,,DUNDEE,DD3 7TA,9059005816,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"2/1, 191 Clepington Road, DUNDEE, DD3 7TA",, 2/1,,191 Clepington Road,,DUNDEE,DD3 7TA,9059005828,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"3 St Michaels Yard, DUNDEE, DD4 9AP",,,,3 St Michaels Yard,,DUNDEE,DD4 9AP,9059102635,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"215 Clepington Road, DUNDEE, DD3 7SZ",,,,215 Clepington Road,,DUNDEE,DD3 7SZ,9059085242,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"112C Clepington Road, DUNDEE, DD3 7SY",,,,112C Clepington Road,,DUNDEE,DD3 7SY,9059084923,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"112D Clepington Road, DUNDEE, DD3 7SY",,,,112D Clepington Road,,DUNDEE,DD3 7SY,9059084924,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"112B Clepington Road, DUNDEE, DD3 7SY",,,,112B Clepington Road,,DUNDEE,DD3 7SY,9059084925,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"112A Clepington Road, DUNDEE, DD3 7SY",,,,112A Clepington Road,,DUNDEE,DD3 7SY,9059084926,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"213 Clepington Road, DUNDEE, DD3 7SZ",,,,213 Clepington Road,,DUNDEE,DD3 7SZ,9059084987,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"1 Balgray Terrace, DUNDEE, DD3 7DS",,,,1 Balgray Terrace,,DUNDEE,DD3 7DS,9059106500,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"1A Hindmarsh Avenue, DUNDEE, DD3 7LY",,,,1A Hindmarsh Avenue,,DUNDEE,DD3 7LY,9059029591,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"1B Hindmarsh Avenue, DUNDEE, DD3 7LY",,,,1B Hindmarsh Avenue,,DUNDEE,DD3 7LY,9059032574,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"1C Hindmarsh Avenue, DUNDEE, DD3 7LY",,,,1C Hindmarsh Avenue,,DUNDEE,DD3 7LY,9059032575,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"1D Hindmarsh Avenue, DUNDEE, DD3 7LY",,,,1D Hindmarsh Avenue,,DUNDEE,DD3 7LY,9059032576,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"2 Balgray Terrace, DUNDEE, DD3 7DS",,,,2 Balgray Terrace,,DUNDEE,DD3 7DS,9059106501,R,Residential - Dwellings - Detached House,Approved preferred,Approved,Constructed,Postal
"4 Balgray Terrace, DUNDEE, DD3 7DS",,,,4 Balgray Terrace,,DUNDEE,DD3 7DS,9059106503,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"6 Balgray Terrace, DUNDEE, DD3 7DS",,,,6 Balgray Terrace,,DUNDEE,DD3 7DS,9059106505,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"8 Balgray Terrace, DUNDEE, DD3 7DS",,,,8 Balgray Terrace,,DUNDEE,DD3 7DS,9059106507,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"10 Balgray Terrace, DUNDEE, DD3 7DS",,,,10 Balgray Terrace,,DUNDEE,DD3 7DS,9059106509,R,Residential - Dwellings - Semi-detached House,Approved preferred,Approved,Constructed,Postal
"2B Hindmarsh Avenue, DUNDEE, DD3 7LZ",,,,2B Hindmarsh Avenue,,DUNDEE,DD3 7LZ,9059006912,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"2D Hindmarsh Avenue, DUNDEE, DD3 7LZ",,,,2D Hindmarsh Avenue,,DUNDEE,DD3 7LZ,9059006916,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"Greenlaw Place, 197 Clepington Road, DUNDEE, DD3 7TA",,,Greenlaw Place,197 Clepington Road,,DUNDEE,DD3 7TA,9059058756,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"2C Hindmarsh Avenue, DUNDEE, DD3 7LZ",,,,2C Hindmarsh Avenue,,DUNDEE,DD3 7LZ,9059006914,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"2A Hindmarsh Avenue, DUNDEE, DD3 7LZ",,,,2A Hindmarsh Avenue,,DUNDEE,DD3 7LZ,9059018481,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"Greenlaw Place, 195 Clepington Road, DUNDEE, DD3 7TA",,,Greenlaw Place,195 Clepington Road,,DUNDEE,DD3 7TA,9059085153,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"8A Fleming Gardens North, DUNDEE, DD3 7NA",,,,8A Fleming Gardens North,,DUNDEE,DD3 7NA,9059022169,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"8E Fleming Gardens North, DUNDEE, DD3 7NA",,,,8E Fleming Gardens North,,DUNDEE,DD3 7NA,9059063182,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"8F Fleming Gardens North, DUNDEE, DD3 7NA",,,,8F Fleming Gardens North,,DUNDEE,DD3 7NA,9059063185,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"8G Fleming Gardens North, DUNDEE, DD3 7NA",,,,8G Fleming Gardens North,,DUNDEE,DD3 7NA,9059063187,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"8H Fleming Gardens North, DUNDEE, DD3 7NA",,,,8H Fleming Gardens North,,DUNDEE,DD3 7NA,9059063190,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"8B Fleming Gardens North, DUNDEE, DD3 7NA",,,,8B Fleming Gardens North,,DUNDEE,DD3 7NA,9059063193,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"8C Fleming Gardens North, DUNDEE, DD3 7NA",,,,8C Fleming Gardens North,,DUNDEE,DD3 7NA,9059063195,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"8D Fleming Gardens North, DUNDEE, DD3 7NA",,,,8D Fleming Gardens North,,DUNDEE,DD3 7NA,9059063197,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"10A Fleming Gardens North, DUNDEE, DD3 7NA",,,,10A Fleming Gardens North,,DUNDEE,DD3 7NA,9059057193,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"10F Fleming Gardens North, DUNDEE, DD3 7NA",,,,10F Fleming Gardens North,,DUNDEE,DD3 7NA,9059063217,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"10G Fleming Gardens North, DUNDEE, DD3 7NA",,,,10G Fleming Gardens North,,DUNDEE,DD3 7NA,9059063219,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"10H Fleming Gardens North, DUNDEE, DD3 7NA",,,,10H Fleming Gardens North,,DUNDEE,DD3 7NA,9059063221,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"10B Fleming Gardens North, DUNDEE, DD3 7NA",,,,10B Fleming Gardens North,,DUNDEE,DD3 7NA,9059063226,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"10C Fleming Gardens North, DUNDEE, DD3 7NA",,,,10C Fleming Gardens North,,DUNDEE,DD3 7NA,9059063228,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"10D Fleming Gardens North, DUNDEE, DD3 7NA",,,,10D Fleming Gardens North,,DUNDEE,DD3 7NA,9059063230,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"10E Fleming Gardens North, DUNDEE, DD3 7NA",,,,10E Fleming Gardens North,,DUNDEE,DD3 7NA,9059063232,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"114C Clepington Road, DUNDEE, DD3 7SY",,,,114C Clepington Road,,DUNDEE,DD3 7SY,9059032798,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"114B Clepington Road, DUNDEE, DD3 7SY",,,,114B Clepington Road,,DUNDEE,DD3 7SY,9059032819,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"5B Hindmarsh Avenue, DUNDEE, DD3 7LY",,,,5B Hindmarsh Avenue,,DUNDEE,DD3 7LY,9059032573,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"3A Hindmarsh Avenue, DUNDEE, DD3 7LY",,,,3A Hindmarsh Avenue,,DUNDEE,DD3 7LY,9059037985,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"3B Hindmarsh Avenue, DUNDEE, DD3 7LY",,,,3B Hindmarsh Avenue,,DUNDEE,DD3 7LY,9059032570,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"3C Hindmarsh Avenue, DUNDEE, DD3 7LY",,,,3C Hindmarsh Avenue,,DUNDEE,DD3 7LY,9059032571,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"3D Hindmarsh Avenue, DUNDEE, DD3 7LY",,,,3D Hindmarsh Avenue,,DUNDEE,DD3 7LY,9059032572,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"5D Hindmarsh Avenue, DUNDEE, DD3 7LY",,,,5D Hindmarsh Avenue,,DUNDEE,DD3 7LY,9059032578,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"4A Hindmarsh Avenue, DUNDEE, DD3 7LZ",,,,4A Hindmarsh Avenue,,DUNDEE,DD3 7LZ,9059001805,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"6B Hindmarsh Avenue, DUNDEE, DD3 7LZ",,,,6B Hindmarsh Avenue,,DUNDEE,DD3 7LZ,9059005670,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"6C Hindmarsh Avenue, DUNDEE, DD3 7LZ",,,,6C Hindmarsh Avenue,,DUNDEE,DD3 7LZ,9059005671,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"6D Hindmarsh Avenue, DUNDEE, DD3 7LZ",,,,6D Hindmarsh Avenue,,DUNDEE,DD3 7LZ,9059005672,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"6A Hindmarsh Avenue, DUNDEE, DD3 7LZ",,,,6A Hindmarsh Avenue,,DUNDEE,DD3 7LZ,9059005609,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"4B Hindmarsh Avenue, DUNDEE, DD3 7LZ",,,,4B Hindmarsh Avenue,,DUNDEE,DD3 7LZ,9059006902,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"4C Hindmarsh Avenue, DUNDEE, DD3 7LZ",,,,4C Hindmarsh Avenue,,DUNDEE,DD3 7LZ,9059006904,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"4D Hindmarsh Avenue, DUNDEE, DD3 7LZ",,,,4D Hindmarsh Avenue,,DUNDEE,DD3 7LZ,9059006906,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"16A Fleming Gardens North, DUNDEE, DD3 7LP",,,,16A Fleming Gardens North,,DUNDEE,DD3 7LP,9059048405,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"16B Fleming Gardens North, DUNDEE, DD3 7LP",,,,16B Fleming Gardens North,,DUNDEE,DD3 7LP,9059046284,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"16C Fleming Gardens North, DUNDEE, DD3 7LP",,,,16C Fleming Gardens North,,DUNDEE,DD3 7LP,9059046285,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"16D Fleming Gardens North, DUNDEE, DD3 7LP",,,,16D Fleming Gardens North,,DUNDEE,DD3 7LP,9059046286,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"18B Fleming Gardens North, DUNDEE, DD3 7LP",,,,18B Fleming Gardens North,,DUNDEE,DD3 7LP,9059046278,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"18A Fleming Gardens North, DUNDEE, DD3 7LP",,,,18A Fleming Gardens North,,DUNDEE,DD3 7LP,9059041260,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"2A Fleming Gardens North, DUNDEE, DD3 7NA",,,,2A Fleming Gardens North,,DUNDEE,DD3 7NA,9059057703,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"4A Fleming Gardens North, DUNDEE, DD3 7NA",,,,4A Fleming Gardens North,,DUNDEE,DD3 7NA,9059027574,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"6A Fleming Gardens North, DUNDEE, DD3 7NA",,,,6A Fleming Gardens North,,DUNDEE,DD3 7NA,9059022744,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"6C Fleming Gardens North, DUNDEE, DD3 7NA",,,,6C Fleming Gardens North,,DUNDEE,DD3 7NA,9059063260,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"6D Fleming Gardens North, DUNDEE, DD3 7NA",,,,6D Fleming Gardens North,,DUNDEE,DD3 7NA,9059063261,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"6B Fleming Gardens North, DUNDEE, DD3 7NA",,,,6B Fleming Gardens North,,DUNDEE,DD3 7NA,9059063265,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"122C Clepington Road, DUNDEE, DD3 7UD",,,,122C Clepington Road,,DUNDEE,DD3 7UD,9059085458,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"122D Clepington Road, DUNDEE, DD3 7UD",,,,122D Clepington Road,,DUNDEE,DD3 7UD,9059085459,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"122B Clepington Road, DUNDEE, DD3 7UD",,,,122B Clepington Road,,DUNDEE,DD3 7UD,9059085460,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"122A Clepington Road, DUNDEE, DD3 7UD",,,,122A Clepington Road,,DUNDEE,DD3 7UD,9059085461,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"5A Hindmarsh Avenue, DUNDEE, DD3 7LY",,,,5A Hindmarsh Avenue,,DUNDEE,DD3 7LY,9059026069,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"5C Hindmarsh Avenue, DUNDEE, DD3 7LY",,,,5C Hindmarsh Avenue,,DUNDEE,DD3 7LY,9059032577,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"14A Fleming Gardens North, DUNDEE, DD3 7NA",,,,14A Fleming Gardens North,,DUNDEE,DD3 7NA,9059012223,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"14B Fleming Gardens North, DUNDEE, DD3 7NA",,,,14B Fleming Gardens North,,DUNDEE,DD3 7NA,9059063262,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"14C Fleming Gardens North, DUNDEE, DD3 7NA",,,,14C Fleming Gardens North,,DUNDEE,DD3 7NA,9059063263,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"14D Fleming Gardens North, DUNDEE, DD3 7NA",,,,14D Fleming Gardens North,,DUNDEE,DD3 7NA,9059063264,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"12A Fleming Gardens North, DUNDEE, DD3 7NA",,,,12A Fleming Gardens North,,DUNDEE,DD3 7NA,9059012394,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"12C Fleming Gardens North, DUNDEE, DD3 7NA",,,,12C Fleming Gardens North,,DUNDEE,DD3 7NA,9059063255,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"12D Fleming Gardens North, DUNDEE, DD3 7NA",,,,12D Fleming Gardens North,,DUNDEE,DD3 7NA,9059063256,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"12B Fleming Gardens North, DUNDEE, DD3 7NA",,,,12B Fleming Gardens North,,DUNDEE,DD3 7NA,9059063241,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"20B Fleming Gardens North, DUNDEE, DD3 7LP",,,,20B Fleming Gardens North,,DUNDEE,DD3 7LP,9059046318,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"18C Fleming Gardens North, DUNDEE, DD3 7LP",,,,18C Fleming Gardens North,,DUNDEE,DD3 7LP,9059046279,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"18D Fleming Gardens North, DUNDEE, DD3 7LP",,,,18D Fleming Gardens North,,DUNDEE,DD3 7LP,9059046280,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"22A Fleming Gardens North, DUNDEE, DD3 7LP",,,,22A Fleming Gardens North,,DUNDEE,DD3 7LP,9059020390,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"20H Fleming Gardens North, DUNDEE, DD3 7LP",,,,20H Fleming Gardens North,,DUNDEE,DD3 7LP,9059046324,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"20A Fleming Gardens North, DUNDEE, DD3 7LP",,,,20A Fleming Gardens North,,DUNDEE,DD3 7LP,9059046468,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"20G Fleming Gardens North, DUNDEE, DD3 7LP",,,,20G Fleming Gardens North,,DUNDEE,DD3 7LP,9059046314,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"22B Fleming Gardens North, DUNDEE, DD3 7LP",,,,22B Fleming Gardens North,,DUNDEE,DD3 7LP,9059046299,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"20D Fleming Gardens North, DUNDEE, DD3 7LP",,,,20D Fleming Gardens North,,DUNDEE,DD3 7LP,9059046311,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"20E Fleming Gardens North, DUNDEE, DD3 7LP",,,,20E Fleming Gardens North,,DUNDEE,DD3 7LP,9059046312,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"20F Fleming Gardens North, DUNDEE, DD3 7LP",,,,20F Fleming Gardens North,,DUNDEE,DD3 7LP,9059046313,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"23 Woodlands Terrace, DUNDEE, DD4 9BD",,,,23 Woodlands Terrace,,DUNDEE,DD4 9BD,9059052256,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"21 Woodlands Terrace, DUNDEE, DD4 9BD",,,,21 Woodlands Terrace,,DUNDEE,DD4 9BD,9059052259,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"18 Woodlands Terrace, DUNDEE, DD4 9BE",,,,18 Woodlands Terrace,,DUNDEE,DD4 9BE,9059009544,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"20 Woodlands Terrace, DUNDEE, DD4 9BE",,,,20 Woodlands Terrace,,DUNDEE,DD4 9BE,9059009545,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"6A Kerrsview Terrace, DUNDEE, DD4 9BH",,,,6A Kerrsview Terrace,,DUNDEE,DD4 9BH,9059016510,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"6C Kerrsview Terrace, DUNDEE, DD4 9BH",,,,6C Kerrsview Terrace,,DUNDEE,DD4 9BH,9059042811,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"6D Kerrsview Terrace, DUNDEE, DD4 9BH",,,,6D Kerrsview Terrace,,DUNDEE,DD4 9BH,9059042812,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"6B Kerrsview Terrace, DUNDEE, DD4 9BH",,,,6B Kerrsview Terrace,,DUNDEE,DD4 9BH,9059042800,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"1 Granton Place, DUNDEE, DD4 9AW",,,,1 Granton Place,,DUNDEE,DD4 9AW,9059057305,R,Residential - Dwellings - Terraced,Approved preferred,Approved,Constructed,Postal
"2 Granton Place, DUNDEE, DD4 9AW",,,,2 Granton Place,,DUNDEE,DD4 9AW,9059063030,R,Residential - Dwellings - Terraced,Approved preferred,Approved,Constructed,Postal
"3 Granton Place, DUNDEE, DD4 9AW",,,,3 Granton Place,,DUNDEE,DD4 9AW,9059063377,R,Residential - Dwellings - Terraced,Approved preferred,Approved,Constructed,Postal
"1/1, 161 Clepington Road, DUNDEE, DD3 7SN",, 1/1,,161 Clepington Road,,DUNDEE,DD3 7SN,9059085511,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"2/1, 161 Clepington Road, DUNDEE, DD3 7SN",, 2/1,,161 Clepington Road,,DUNDEE,DD3 7SN,9059085506,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"3/1, 161 Clepington Road, DUNDEE, DD3 7SN",, 3/1,,161 Clepington Road,,DUNDEE,DD3 7SN,9059085508,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"28 Woodside Terrace, DUNDEE, DD4 9AS",,,,28 Woodside Terrace,,DUNDEE,DD4 9AS,9059017493,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"26 Woodside Terrace, DUNDEE, DD4 9AS",,,,26 Woodside Terrace,,DUNDEE,DD4 9AS,9059017488,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"24 Woodside Terrace, DUNDEE, DD4 9AS",,,,24 Woodside Terrace,,DUNDEE,DD4 9AS,9059002584,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"22 Woodside Terrace, DUNDEE, DD4 9AS",,,,22 Woodside Terrace,,DUNDEE,DD4 9AS,9059002588,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"G/2, 161 Clepington Road, DUNDEE, DD3 7SN",, G/2,,161 Clepington Road,,DUNDEE,DD3 7SN,9059085510,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"1/2, 161 Clepington Road, DUNDEE, DD3 7SN",, 1/2,,161 Clepington Road,,DUNDEE,DD3 7SN,9059085512,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"G/1, 161 Clepington Road, DUNDEE, DD3 7SN",, G/1,,161 Clepington Road,,DUNDEE,DD3 7SN,9059085397,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"2/2, 161 Clepington Road, DUNDEE, DD3 7SN",, 2/2,,161 Clepington Road,,DUNDEE,DD3 7SN,9059085507,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
